Worker,counter
874181,27
1014767,27
397859,26
429149,22
1012904,18
1101962,16
415952,15
1097525,13
1085447,13
960542,12
743213,11
525944,11
1119119,11
733679,11
1035680,11
819602,11
1010717,10
966299,10
555017,10
680621,10
1113020,9
1011371,9
891767,9
1015766,9
690734,9
843569,9
746369,8
959687,8
745637,8
194294,8
686414,8
1113437,7
793070,7
979985,7
929345,7
31814,6
881453,6
866693,6
988505,6
482489,6
947312,6
786563,6
386942,6
977717,6
806723,6
1019810,5
690419,5
1017539,5
486551,5
372896,5
937400,5
1103390,5
872363,5
1022876,5
999344,5
852767,5
1017251,5
989813,5
285539,5
96512,5
754388,5
992027,5
783593,5
1114013,4
503963,4
437153,4
448484,4
239495,4
927026,4
465725,4
473894,4
1012064,4
923405,4
1082303,4
839324,4
591209,4
746969,4
160118,4
934943,4
860663,4
1000643,4
115355,4
531773,4
481088,4
246815,4
318917,4
664853,3
1018745,3
920288,3
215171,3
1018583,3
1008038,3
844664,3
538634,3
544229,3
711188,3
485264,3
334850,3
1113605,3
304850,3
151469,3
1002116,3
853946,3
97910,3
1011764,3
984407,3
981293,3
257141,3
822365,3
1048736,3
1017842,3
758150,3
981482,3
1015463,3
891932,3
754106,3
1023977,2
87371,2
1133372,2
1024874,2
981542,2
929246,2
294110,2
678908,2
984287,2
995726,2
685373,2
1025948,2
994610,2
749843,2
291167,2
990626,2
1115249,2
986573,2
288650,2
120491,2
668351,2
843143,2
116552,2
930533,2
107840,2
280391,2
748079,2
999971,2
920141,2
497387,2
232991,2
1049285,2
895604,2
1069925,2
978347,2
1015082,2
1020221,2
378413,2
1018088,2
1015454,2
921698,2
1018682,2
1084970,2
459314,2
341795,2
388370,2
449012,2
1000667,2
637913,2
320960,2
1002398,2
867581,2
387392,2
230225,2
449693,2
1005701,2
253307,2
453953,2
938543,1
977456,1
977252,1
941780,1
978089,1
976874,1
976646,1
977501,1
947270,1
941801,1
976064,1
975680,1
975530,1
975683,1
974912,1
942002,1
975863,1
934091,1
969284,1
967376,1
952805,1
934874,1
960170,1
942113,1
976400,1
941885,1
953594,1
976643,1
953435,1
937112,1
1754,1
979757,1
1026737,1
1010786,1
1011707,1
1012115,1
1012178,1
1014383,1
1014596,1
1016336,1
1016921,1
1017266,1
1018127,1
1018151,1
1019516,1
1025567,1
1026944,1
1008983,1
1028489,1
1028879,1
1029188,1
1029437,1
1048607,1
1075484,1
1081709,1
1082867,1
1102016,1
1109636,1
1120604,1
1122773,1
1135328,1
1010066,1
1007249,1
980504,1
993803,1
983012,1
983762,1
984467,1
984656,1
985334,1
987278,1
987296,1
987440,1
987977,1
988325,1
988529,1
989009,1
989996,1
995480,1
1007114,1
997181,1
998285,1
999263,1
999302,1
999503,1
1001864,1
1002332,1
1002491,1
1003451,1
929465,1
1004633,1
1006184,1
1007054,1
1004477,1
840704,1
926114,1
321440,1
481202,1
479900,1
478829,1
473315,1
467666,1
455870,1
452627,1
448031,1
435599,1
433160,1
384470,1
383495,1
381749,1
381173,1
369455,1
365051,1
352622,1
486425,1
487499,1
493493,1
518102,1
591863,1
591776,1
590825,1
576392,1
554402,1
538328,1
529241,1
517262,1
498914,1
512591,1
509705,1
508694,1
506957,1
504959,1
504545,1
501029,1
340091,1
320708,1
605738,1
311369,1
200615,1
198500,1
187502,1
186182,1
174560,1
169196,1
163889,1
159773,1
132551,1
131744,1
129494,1
124964,1
118001,1
115118,1
93752,1
92813,1
58487,1
206369,1
214166,1
215963,1
265511,1
309884,1
304931,1
295646,1
286556,1
279584,1
273389,1
268841,1
256361,1
223952,1
254180,1
244625,1
243740,1
242882,1
230531,1
224594,1
223991,1
603179,1
611939,1
923924,1
801512,1
875618,1
872174,1
871217,1
853814,1
852683,1
849191,1
845858,1
841967,1
840509,1
832298,1
830801,1
826985,1
825824,1
821705,1
820475,1
814559,1
813677,1
875681,1
876905,1
879176,1
909572,1
923660,1
919985,1
916865,1
911618,1
911132,1
910748,1
910424,1
902033,1
882707,1
898307,1
892943,1
890702,1
890516,1
890057,1
888491,1
882860,1
801950,1
796703,1
628481,1
795464,1
728897,1
727337,1
725135,1
723986,1
716021,1
711293,1
695852,1
685496,1
684380,1
683147,1
679571,1
679421,1
670997,1
664496,1
659882,1
640508,1
634799,1
729326,1
731513,1
734813,1
772004,1
794639,1
790355,1
789194,1
788306,1
785003,1
779177,1
777086,1
766235,1
736208,1
761984,1
756203,1
754598,1
753839,1
746078,1
744587,1
739703,1
1162367,1
